Turkish,English meaning,Categoy,Difficulty
sezon,season,Time_Calendar,3
mıknatıs,magnet,Objects_Things,3
teşekkür ederim,thank,Language_Communication,7
şube,branch,Objects_Things,2
sonek,suffix,Language_Communication,2
incir,fig,Food_Drink,2
korkuyor,afraid,Feelings_Emotions,3
çelik,steel,Objects_Things,2
ileri,forward,Adjectives,3
benzer,similar,Adjectives,2
kılavuz,guide,Occupations,3
deneyim,experience,Actions_Activities,4
satın aldı,bought,Actions_Activities,4
açtı,led,Actions_Activities,2
zift,pitch,Objects_Things,1
ceket,coat,Objects_Things,2
kitle,mass,Concepts,2
halat,rope,Objects_Things,2
kayma,slip,Actions_Activities,2
win,win,Actions_Activities,2
durumu,condition,Concepts,3
beslemek,feed,Actions_Activities,3
aracı,tool,Objects_Things,3
vadi,valley,Places_Locations,2
bloğu,block,Objects_Things,2
grafiği,chart,Objects_Things,3
anlaşma,deal,Actions_Activities,3
yüzmek,swim,Actions_Activities,2
vadeli,term,Finance,3
karşısında,opposite,Location,4
karısı,wife,Family_Relationships,3
omuz,shoulder,Body_Parts,2
yaymak,spread,Actions_Activities,2
kamp,camp,Places_Locations,1
icat,invent,Actions_Activities,2
doğmuş,born,Adjectives,2
belirlemek,determine,Actions_Activities,4
kuart,quart,Objects_Things,1
kamyon,truck,Transportation,3
gürültü,noise,Perception,3
seviyesi,level,Concepts,4
streç,stretch,Objects_Things,1
parlaklık,shine,Adjectives,3
mülkiyet,property,Concepts,3
sütun,column,Objects_Things,3
molekülü,molecule,Science_Technology,4
seçin,select,Actions_Activities,3
gerektirir,require,Concepts,4
hazırlamak,prepare,Actions_Activities,4
çoğul,plural,Language_Communication,2
öfke,anger,Feelings_Emotions,2
iddia,claim,Concepts,2
kıta,continent,Places_Locations,2
